Region,State,EnergySource,YearValue,Capacity_MW
ER,Andaman and Nicobar,SOLAR,2019,11.73
SR,Andhra Pradesh,SOLAR,2019,3085.68
NER,Arunachal Pradesh,SOLAR,2019,5.39
NER,Assam,SOLAR,2019,22.4
ER,Bihar,SOLAR,2019,142.45
NR,Chandigarh,SOLAR,2019,34.71
WR,Chhattisgarh,SOLAR,2019,231.35
WR,Dadra and Nagar Haveli,SOLAR,2019,5.46
WR,Daman and Diu,SOLAR,2019,14.47
NR,Delhi,SOLAR,2019,126.89
WR,Goa,SOLAR,2019,3.92
WR,Gujarat,SOLAR,2019,2440.13
NR,Haryana,SOLAR,2019,224.52
NR,Himachal Pradesh,SOLAR,2019,22.68
NR,Jammu and Kashmir,SOLAR,2019,14.83
ER,Jharkhand,SOLAR,2019,34.95
SR,Karnataka,SOLAR,2019,6095.56
SR,Kerala,SOLAR,2019,138.59
SR,Lakshadweep,SOLAR,2019,0.75
WR,Madhya Pradesh,SOLAR,2019,1840.16
WR,Maharashtra,SOLAR,2019,1633.54
NER,Manipur,SOLAR,2019,3.44
NER,Meghalaya,SOLAR,2019,0.12
NER,Mizoram,SOLAR,2019,0.5
NER,Nagaland,SOLAR,2019,1
ER,Orissa,SOLAR,2019,394.73
SR,Puducherry,SOLAR,2019,3.14
NR,Punjab,SOLAR,2019,905.62
NR,Rajasthan,SOLAR,2019,3226.79
ER,Sikkim,SOLAR,2019,0.01
SR,Tamil Nadu,SOLAR,2019,2575.22
SR,Telangana,SOLAR,2019,3592.09
NER,Tripura,SOLAR,2019,5.09
NR,Uttar Pradesh,SOLAR,2019,960.1
NR,Uttaranchal,SOLAR,2019,306.75
ER,West Bengal,SOLAR,2019,75.95
